,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32
S067,-1.1148038,3.3844693,-0.79444104,-0.0059118452,-0.5920805,-1.0131222,2.3189838,-0.20428939,-0.6371034,-0.2788407,-1.6001874,-1.7154953,0.063125014,0.9324375,2.7198722,-0.1973622,0.6768945,2.5795448,-0.085021734,-2.7501533,-1.0168146,-0.6516022,-1.0105987,1.5809171,-1.3954728,2.6325514,2.327013,-1.4875511,0.15207395,0.5647281,0.7067809,1.641621
S068,1.38095,-2.7377918,0.93654764,-0.94145393,1.5282475,1.377994,-0.0831465,0.49116635,0.99923533,-0.9277597,0.110978,2.1082141,0.62026286,-1.2188466,-4.2788467,-0.4402422,0.29344064,-2.5312686,0.66764194,2.0110526,0.011325311,1.2220383,2.096171,-0.7009115,1.3207761,-2.59819,-1.8651309,2.3766212,-0.3576241,-1.0915968,0.027753904,-0.9248587
S069,-2.0005841,2.7522695,-0.9555481,0.3507186,-0.6188524,-1.4537557,2.8069148,0.051352635,-1.3907439,0.46961015,-0.9174933,-1.8942289,0.46038336,0.76716834,2.4433284,-0.77769667,0.5193332,3.1561623,-0.15303832,-2.9117835,-0.85830224,-1.6389375,-1.24903,1.8902714,-0.7937141,2.768037,2.2352986,-1.1047618,0.48889458,0.8082295,0.25706047,1.857741
S070,1.8005791,-3.5827513,1.4343901,-1.0745511,1.1371874,0.9456482,-0.35042644,0.50352055,1.1421269,-0.5439545,-0.10623116,1.76634,0.47687772,-0.7152974,-3.5946276,-0.2536191,-0.15372689,-2.902475,1.0448182,2.0403426,-0.44872376,0.8013231,1.7354211,-0.09132208,0.98668677,-2.7516181,-1.9618375,2.2931302,-0.17827077,-1.5978434,0.008974388,-0.47550926
S071,-1.3401852,3.2450128,-1.5228709,0.28713882,-0.21463437,-0.94978476,2.4619637,-0.47728485,-1.0631988,-0.23819058,-0.9874865,-1.749233,0.054616693,1.4487246,2.6207786,-0.68022954,0.54103863,3.3696766,-0.1254056,-3.1215727,-1.4016575,-1.0104966,-1.1449932,1.3421772,-1.1258458,2.762378,2.2222629,-1.3689967,0.103560865,0.78570473,0.29333508,1.8142098
S072,1.5095699,-3.3299568,1.3694956,-1.2478057,1.3792777,1.1675087,-0.40373707,0.7761832,1.3526384,-0.36380202,-0.4940651,1.6749746,0.13797806,-1.2701961,-3.2098804,0.1018841,0.062062427,-2.968634,1.0429426,2.1453207,-0.43758732,0.34704795,2.0488815,-0.2183673,0.8686293,-3.0696673,-2.1826394,2.5827374,0.15858592,-1.4007717,0.52504474,-0.68397546
S073,-1.4882761,3.1173913,-0.8545151,0.31537014,-0.744351,-0.92671305,2.3185916,-0.19160418,-0.99885803,-0.30517876,-0.9165538,-1.9502845,-0.28804103,0.55179507,2.9078927,-0.31804967,0.66397417,3.1428566,-0.25756395,-3.2633007,-0.71566963,-1.0579183,-0.6379498,1.6542405,-0.8082059,2.974353,2.362522,-0.9646686,0.7245107,0.856876,0.62619793,1.8308185
S074,1.6140884,-3.327565,1.3108116,-1.2838002,1.2704878,1.0329854,-0.07163955,1.1610391,1.6538216,-0.20054811,-0.6495291,1.8306596,0.5575311,-0.88301516,-3.671609,-0.2618706,0.035001185,-2.8047218,1.3047583,2.0656621,-0.47713718,0.6453086,1.9196433,0.064729646,1.0956391,-2.5837572,-1.7453371,2.069603,0.322573,-1.8469672,0.3223592,-0.71240777
S075,-1.6655868,3.2164772,-1.1024812,0.21655819,-0.105715945,-1.219266,2.513963,-0.16135047,-1.131376,-0.28444964,-1.0179697,-2.0357897,0.32523575,1.1773716,2.858912,-0.85043484,0.45402184,2.9498832,-0.1418374,-3.1103508,-1.1468374,-1.3067787,-1.1792744,1.6472083,-0.9766678,2.8692355,2.2490783,-0.85489565,0.3369767,1.0559361,0.3380822,1.9280356
S076,1.6191946,-3.505583,1.093157,-1.3335192,1.7336483,1.4694573,-0.5702962,0.51662284,1.5197794,-0.24766871,-0.6443613,2.3884463,0.28481427,-1.4424616,-3.792145,-0.34025794,0.13062316,-2.8180878,0.8741079,2.2507985,-0.05358902,0.63549846,2.0130491,-0.66412187,0.73179275,-2.5496724,-1.8006243,1.8825526,0.15211344,-1.5590005,0.38425976,-0.7800334
S077,-1.8536935,2.8769486,-1.1606323,0.19146745,-0.65148354,-1.151886,2.9881911,-0.32947803,-1.4463849,-0.1936731,-0.9316248,-2.144722,0.2358095,0.82301253,2.6946456,-0.5058824,0.42269406,3.1807377,-0.26411733,-2.9445207,-1.3664918,-1.059089,-0.81059575,1.1757545,-1.171172,3.0220232,2.4132242,-1.6844823,-0.31421882,0.34676695,1.3448324,1.9519472
S078,1.741767,-3.0471485,1.6148155,-1.1287037,1.0677356,1.0736974,-0.70457965,0.97731173,1.4565253,-0.052315027,-0.29334912,1.752961,0.4606134,-0.8288001,-3.2573104,-0.20756744,-0.24899076,-3.0239017,1.457311,2.5058908,-0.47005495,0.4363094,1.6504649,-0.32033792,0.87649035,-2.8586125,-2.1533842,2.2958074,0.120715305,-1.7461331,0.73017013,-1.3285125
S079,-1.5838653,3.3737307,-0.79177487,0.5916584,-0.6060349,-0.9900857,2.5976567,-0.6194924,-1.1028538,-0.39356172,-0.97525316,-1.8943839,0.07586351,1.2801974,2.6331077,-0.53400654,0.36510465,3.167618,0.022908028,-3.231372,-1.1999303,-1.2621183,-0.9652008,1.7501482,-1.1523391,2.5194209,2.417155,-1.371418,-0.14754556,0.76190394,0.36961055,2.2302396
S080,1.7901261,-3.459344,1.0471351,-1.426869,1.3902848,1.087724,-0.23176923,0.516309,1.1762819,-0.50140065,-0.84648174,2.3323064,-0.023063418,-1.0228249,-3.5306845,-0.1221292,0.0056992583,-2.7813656,1.1658463,2.3317416,-0.45291075,0.3609262,1.9096601,-0.6894141,1.20546,-2.656446,-2.432667,1.865802,-0.2530247,-1.511733,0.4682852,-1.0986333
S081,-1.6372408,3.3496685,-0.8807095,0.17918257,-0.57775307,-1.1292595,2.4979534,-0.2514345,-1.1151308,-0.025141118,-0.85978734,-1.8762981,0.18848735,1.0025952,2.9999814,-0.4186415,0.46260127,3.0700772,-0.12744348,-3.2849638,-0.93862325,-1.1062782,-0.76979834,1.7964064,-1.1572639,2.8549626,2.2912934,-1.3035553,0.42167202,1.0557196,0.71693975,1.9435551
S082,1.0223976,-3.4528031,1.1033098,-1.0786262,1.1029172,1.4996989,-0.34175977,1.0789033,1.0153462,-0.81198645,0.35920584,1.7801912,0.8505012,-0.65331084,-3.81982,-0.37377602,0.24136414,-2.6960745,1.0466824,2.1211002,-0.3894553,1.1983662,1.8887534,0.08176316,1.0597835,-2.513847,-1.9869869,2.09898,-0.11898874,-1.6840653,0.38134915,-0.73072755
S083,-1.5549637,3.0595899,-0.9546229,0.6294283,-0.4233229,-1.2045342,2.301874,-0.080308154,-1.0953302,-0.32391626,-0.8621043,-2.1328385,0.30167672,1.0110075,2.8629577,-0.3474207,0.38288474,2.7577195,-0.39319554,-3.056585,-1.277401,-1.2914898,-1.413395,1.5446031,-1.2816516,2.86465,2.6725678,-1.24895,0.2587702,0.8136011,0.9648669,1.6938827
S084,1.6834942,-2.8409066,1.2786922,-1.2615026,1.3161403,0.9761546,-0.26469496,0.70197004,1.7844462,-0.5917261,-0.5624135,2.036904,0.2597463,-1.2517878,-3.6037488,-0.034312848,-0.21923323,-3.0161695,0.91220474,2.3316205,-0.6808778,0.44242287,1.419461,-0.39352456,0.6792124,-2.6573048,-1.9224882,2.1537914,0.8659662,-1.4326525,0.32830024,-0.83759165
S085,-1.1913091,3.157202,-1.0484152,0.04036524,-0.6100266,-1.2061476,2.423631,-0.20110157,-0.4593449,-0.23775002,-0.59559333,-1.7427307,0.14561614,1.4544349,2.649723,-0.2193204,0.018833239,2.6853669,-0.16856839,-3.3817174,-0.8723672,-1.006907,-1.0212936,2.0818338,-0.6686636,2.811566,2.4906719,-1.2613156,0.044886876,0.88456935,0.7746153,1.9066795
S086,1.6776896,-3.5262709,1.5848668,-1.3487605,1.3533462,0.57549286,-0.42890713,0.48664552,1.6176031,-0.20806488,-0.46118686,1.9968287,0.55649513,-1.185928,-3.3549292,-0.39416274,0.06400922,-3.1987195,0.59511435,2.5264447,-0.22507823,0.3203447,1.8911966,-0.9389416,1.1352706,-2.6453145,-2.2995512,1.872849,0.2865709,-1.5464325,-0.05611644,-0.68445
S087,-1.7101198,3.4486604,-0.6659319,0.5633043,-0.42136756,-1.0023713,2.6455312,-0.4474277,-0.95617324,-0.26667666,-0.77101755,-1.981968,0.40529606,1.1491412,2.7508874,-0.29156733,0.3486171,3.0421546,0.06665707,-3.067061,-0.42320043,-1.0753813,-0.8287817,2.0610318,-0.91769165,2.5434456,2.689627,-1.1205316,0.46099314,0.5109277,0.2505911,1.8691164
S088,1.9550449,-3.422375,1.4455513,-1.5748762,0.76681346,0.3112059,-0.7234891,0.21410437,1.5333518,-0.18487014,-0.7321489,2.0656106,0.6505929,-1.4741004,-3.2047343,-0.49890298,-0.19528614,-2.7944562,0.6898286,2.8343155,-0.13050027,0.73184395,1.6078053,-0.747437,1.1100858,-3.21275,-2.288573,1.264308,0.11872855,-0.96477205,-0.40628952,-1.1223431
S089,-0.7516749,3.0279992,-0.98360085,0.44184574,-1.0489819,-0.77613163,2.1437798,0.11805506,-1.2441062,-0.35547277,-1.4011637,-1.2039806,-0.2082496,1.1729182,2.5788975,-0.60815686,-0.2627444,2.8192618,-0.6053949,-3.2172296,-1.2740321,-1.3650961,-1.1131918,1.6088835,-1.0818688,2.503535,2.3391707,-1.5438607,0.10879557,0.75116,0.71169406,2.0246553
S090,1.9002627,-3.3336222,1.2200774,-0.9792708,1.1611979,1.3959976,-0.22417107,0.2033215,1.5451593,-0.32187417,-0.40859655,2.1191204,0.27200043,-0.9542051,-3.3076057,0.007831436,0.32912827,-2.575648,0.9408346,2.0060103,-0.1625495,0.41482484,1.7978078,-0.32260913,1.3468581,-3.130961,-2.1448858,1.8601685,0.10313873,-1.4001848,0.5282155,-1.1736354
S091,-1.6457013,3.2422636,-0.9411868,-0.4727594,-0.6245442,-1.3370293,2.0055072,-0.32950962,-0.7834869,-0.03779283,-0.7067835,-2.1137288,0.12545183,1.2455171,3.0651255,-0.25453016,0.07262267,2.3733008,-0.48657766,-3.3742373,-0.59401643,-0.95272094,-1.0556179,1.811884,-1.3208219,3.102288,2.827966,-0.5488946,0.37664795,0.74671406,0.42542678,1.9629141
S092,1.4061981,-2.9906485,1.5964544,-1.529144,1.296366,1.0743173,-0.39846814,0.5558488,2.0187569,-0.42524105,-0.17328131,2.008218,0.4873061,-1.0360931,-3.2362266,-0.0660844,0.5442372,-2.9131515,0.9304581,2.852345,-0.12541251,0.47015947,1.3984146,-0.21853282,0.81264424,-2.7015994,-1.5507572,2.0052414,0.15759107,-1.194422,0.28435516,-1.0805129
S093,-1.3335928,3.4692156,-0.8249016,0.5803349,-0.33296156,-1.083434,2.0316885,-0.6693014,-1.144716,-0.4243147,-1.2177373,-2.1290894,-0.099751204,1.1607238,2.7140956,-0.605624,0.5374815,2.8600686,-0.30440903,-2.960553,-0.87744987,-0.91472334,-1.4308503,1.6316433,-1.0178341,2.6847875,2.4878123,-0.7838518,0.44627497,0.8334219,0.5464966,1.7545549
S094,1.8579559,-3.095997,1.5072938,-1.3690809,1.1948137,0.51384926,0.0034547925,0.31280607,1.8314017,0.0042434502,-0.7260863,2.3494594,0.26069775,-1.4165725,-2.9397056,-0.3747101,0.1543501,-3.0032654,1.0013449,2.8960428,-0.33762905,0.5567966,1.7335323,-0.75140166,0.50255543,-2.799044,-1.8177285,2.196624,0.13090315,-1.3432548,0.17187446,-1.3620206
S095,-1.2884532,3.3956583,-1.104427,0.020247217,-0.60534525,-1.1929986,2.5726967,-0.13517867,-1.0092205,-0.10962301,-0.9152563,-1.9849664,0.092222124,1.367323,3.1778636,-0.31951138,0.22607741,2.918039,-0.48539323,-2.7287047,-1.1865722,-0.8745974,-1.1161314,1.6313456,-1.5805289,2.91283,2.2139587,-0.96049356,-0.16607285,1.1301516,0.70694077,2.0499032
S096,1.7013654,-3.3290665,1.5248852,-1.0950543,1.1315966,1.0168892,-0.41116372,0.51950485,1.9932499,-0.083829224,-1.0751772,2.2075913,0.20549208,-0.9794403,-2.9781892,-0.22812654,-0.10323836,-3.0060093,1.2913165,2.5449305,-0.069875315,0.26130325,1.8591431,-0.33261958,0.6626399,-2.7637107,-1.9435427,2.0741897,0.48244557,-1.3033017,0.31936502,-1.0452493
S097,-1.7657417,2.9812386,-0.848215,0.68164223,-0.37190542,-1.2371035,2.5741725,-0.21275418,-1.0071907,-0.30291992,-0.90910834,-2.1091788,0.3520491,1.1858898,2.6379218,-0.19950758,0.55692387,3.104482,-0.46950847,-3.3122768,-0.9470569,-1.1665521,-1.396904,1.7958709,-1.1779823,2.8907444,2.6416776,-1.4876468,0.39905164,0.81335336,0.3957827,1.7702955
S098,1.1889576,-3.508588,1.7016041,-1.0101477,0.95600295,0.9507551,-0.053563777,0.91705775,1.0663761,-0.98738664,0.12299227,1.6197848,0.7401806,-0.4256703,-3.3802078,-0.3583052,-0.21391584,-3.1296322,1.2200847,2.1913486,0.017263535,0.49994472,2.0911822,-0.44949913,1.2138819,-2.4078667,-1.7830546,2.0562882,-0.32162142,-1.5870113,0.107260264,-0.23822732
S099,-1.883823,2.7503593,-1.1041212,0.11867812,-0.8526831,-1.705923,2.225644,-0.3021785,-1.3052841,-0.42683494,-0.7652337,-2.2555597,-0.15048674,0.66717786,3.1359208,-0.7912609,0.33474493,2.6762168,-0.4743296,-3.125767,-1.0450066,-1.0368361,-1.2038286,1.5587474,-1.3906921,2.6047428,2.8431325,-0.97770214,0.38683277,0.75344175,0.42259598,2.0888102
S100,1.5552745,-3.003345,1.4174478,-1.5589101,1.4398469,1.3936263,-0.52632374,0.19227599,1.3174615,-0.05706887,-1.0849003,2.196324,-0.3081498,-1.2095362,-3.9170833,0.09734857,-0.16097178,-2.4671066,0.95177764,2.5203097,-0.7397001,0.27596283,1.801398,-0.80769587,0.6364513,-2.7728446,-1.704336,2.2015166,-0.0594245,-1.3900738,0.06355585,-0.9067708
S101,-0.94017565,3.0498536,-1.2271113,0.60680693,-0.85227203,-1.2380594,2.189192,-0.69237345,-1.102586,-0.6180901,-0.6781839,-2.050213,-0.20634016,1.3602818,2.6516974,-0.53338933,0.311648,2.788942,-0.36892807,-2.9862106,-0.95573545,-0.65898985,-1.1341908,1.280068,-1.2717093,2.9971406,2.313633,-0.9590713,0.061947513,0.59410906,0.7295093,1.1026059
S102,1.8357013,-3.3184826,1.6189002,-1.4806848,1.5180196,1.2571305,-0.24948935,0.44516742,1.4950169,-0.3966482,-0.42597273,2.1719646,0.5937117,-0.8960931,-3.3334794,0.26241115,0.26370612,-2.671079,0.8867653,2.2749293,0.05975687,0.39464852,1.4536343,-0.22310485,1.2568227,-3.0322838,-2.2517688,2.279956,-0.037917178,-1.2636373,0.3121391,-1.2300454
S103,-2.00425,3.2841856,-1.504527,0.6989311,-0.74417675,-1.4400631,1.6127884,-0.91516745,-0.98509896,-0.025257988,-0.22810358,-2.2936447,-0.5310596,1.0263376,3.5580564,0.22943382,0.22288637,3.006422,-0.3915783,-2.706363,-0.21109441,-0.9998631,-0.6756871,1.0088935,-0.9440961,2.607046,2.155658,-0.9429952,1.1116145,0.7560707,0.9224853,1.5586427
S104,1.5557063,-3.3901527,1.3525927,-1.3083284,0.8451985,1.0596362,-0.5708157,0.5628495,1.9881327,-0.2707136,-0.6380357,2.0753148,0.8769371,-1.197821,-3.3402362,-0.012478698,-0.017953116,-3.2252328,1.1541935,2.7288992,-0.53963655,0.7479407,1.5614455,-0.45794255,1.1955701,-2.888522,-1.902787,1.6660509,-0.06465118,-1.3106542,0.23176584,-1.2963694
S105,-1.588026,3.541937,-0.87726784,0.26946923,-0.6402439,-1.2418298,1.9116193,-0.7084367,-0.8442884,0.06098306,-0.8655609,-2.166876,-0.18164548,1.2060817,2.9668088,-0.25885773,0.34357417,2.7037857,-0.12951182,-3.3513978,-0.876819,-0.67505276,-1.1881756,1.4403039,-0.87935275,3.1616328,2.336264,-1.0135593,0.46197477,0.79036945,0.6948453,1.7386104
S106,1.3703183,-3.481922,1.5415349,-1.2984023,0.92881584,1.2750062,-0.299589,0.55678487,1.8113949,-0.5763926,-0.10434807,2.0250776,0.6710793,-1.3182101,-3.3469434,-0.04463042,-0.09872316,-2.8287199,0.83493423,2.467784,-0.5551138,0.7063693,1.6353037,-0.41166562,1.309808,-2.5589302,-1.2855575,1.8502657,-0.12300649,-1.2656168,0.14462212,-0.94211614
S107,-1.489695,3.603199,-0.97225195,0.033870216,-0.2620682,-0.8017087,2.4433694,-0.17553706,-0.80329114,-0.6126825,-1.0302262,-2.29702,0.2226721,1.424238,2.8084755,-0.4657989,0.22285324,3.056997,-0.08734131,-2.7818973,-0.99004114,-1.0354128,-1.2570727,1.9320228,-1.5737256,2.8258498,2.1286633,-1.1654778,0.019866485,0.7409315,0.7336657,1.6459316
S108,1.6253619,-2.7114642,1.7747897,-1.1370759,0.9771321,1.153914,-0.25412932,0.32255584,1.541227,-0.26017419,-0.8251104,2.7587154,0.39867535,-1.0134075,-3.090756,0.07943614,-0.19389541,-2.8798835,1.0404831,1.8532963,-0.30946508,0.3131742,1.7616804,-0.8590929,0.98396295,-2.8675063,-1.8149376,1.4898362,-0.07572751,-1.3786283,0.28521454,-1.0553265
S109,-2.0482113,3.180765,-0.996419,0.45764515,-0.29760897,-1.2459072,2.3159597,-0.48471665,-1.5493532,-0.21279015,-0.69418365,-2.1414874,-0.4133977,1.0089828,3.399263,-0.268065,0.14487894,2.7503023,-0.3376323,-3.346199,-0.41228193,-0.6560405,-1.2954,1.2432595,-1.5753049,2.5541742,2.5004268,-1.4852854,-0.08012338,0.8797278,0.89942455,2.0772188
S110,1.6931539,-3.3424098,1.134978,-1.4418536,1.2191778,1.1354517,-0.24918689,0.6170509,1.7260768,-0.58076257,-0.6412567,1.9421883,0.4437798,-1.3941026,-3.6518815,-0.4388882,0.20739184,-2.7682354,0.95763844,2.404968,-0.7656114,0.7092358,1.6121823,-0.16219269,0.94519156,-2.8423016,-1.3655717,2.2854724,-0.059080068,-1.614676,0.33187652,-0.76143265
S111,-1.6510454,3.2353542,-1.8414086,0.049212907,-1.2688546,-0.85982704,1.917785,-0.3878737,-0.5900027,-0.23081672,-0.5028113,-2.2187343,-0.051193323,1.3528048,3.134781,-0.1959994,0.37809184,2.303558,-0.63390285,-3.044915,-0.80508894,-0.517759,-1.1335051,0.8484397,-1.0246018,3.0819833,2.0367339,-0.6857568,0.81881154,1.1504146,1.0066012,1.876405
S112,1.7691664,-3.1559057,1.5492162,-1.4538321,0.8906703,1.0137452,-0.80295223,0.4452958,1.7378094,-0.3418362,-1.0299851,2.4178257,0.23410156,-1.197438,-3.3566594,-0.19288191,0.06518379,-2.9132268,1.0978887,2.318477,-0.38005635,0.574336,1.528737,-0.29426357,1.0717496,-2.8571608,-1.8249563,1.5705202,0.21531469,-1.8439326,0.06860206,-0.8980205
S113,-1.735116,2.9942322,-1.135115,-0.179853,-1.1261191,-1.0919809,2.0548456,-0.50366807,-0.46015468,-0.0555519,-0.77742195,-2.6417403,0.0067017414,1.2207398,2.6604216,-0.28230664,0.5704798,2.6924741,-0.67311114,-3.1181886,-0.57835007,-0.22042516,-0.53716946,1.2255468,-0.8354579,3.0617008,2.5090744,-0.8494219,0.7859245,0.6096024,1.0464293,1.6658394
S114,1.7070063,-3.3517263,1.1439636,-1.6693041,1.2710395,0.53324026,-0.24930243,0.39140874,1.6376147,-0.47312257,-1.0235676,2.0263693,0.57157433,-1.444172,-3.0961144,-0.52250206,-0.0038837343,-2.9053228,1.0122942,2.4860566,0.023421016,0.56310236,1.6304144,-0.28512397,0.6193968,-2.8830802,-2.0142164,1.8552134,0.26489282,-1.3859388,0.41599423,-1.1375695
S115,-1.7498927,3.5857046,-1.3165554,0.46039206,-0.86693233,-1.0403316,1.8752186,-0.36086887,-1.1673448,-0.09462662,-0.73382086,-1.8809797,0.30361822,0.8231996,2.5056343,-0.09311885,0.7131199,2.7539504,-0.35626692,-3.3073466,-0.9834651,-1.2195861,-0.7519684,1.2597746,-0.922522,2.849889,2.5058858,-1.1062071,0.24409418,0.6394178,1.0159339,2.2565305
S116,1.6822474,-3.201198,1.2434772,-1.2457538,0.86876625,1.2877356,-0.46129093,0.30783957,1.5883893,-0.267278,-1.0494618,2.0163105,0.24021447,-1.2891375,-3.720405,-0.15241615,0.2197932,-2.6251974,0.7671825,2.335939,-0.44387528,0.2794084,1.3101087,0.030489773,1.1980157,-2.8344169,-2.0333097,2.138936,0.028274558,-1.5872669,0.046476915,-0.85451406
S117,-1.4703535,3.223108,-1.3524882,0.073385075,-0.56161034,-0.9566643,2.2806149,-0.3489192,-0.971929,0.16604364,-0.8058565,-2.1347396,0.2834946,0.8641031,2.663126,-0.33662224,0.43856755,3.3170636,-0.2549659,-2.7404535,-1.0855604,-1.3718479,-1.9567382,1.481133,-1.1664096,2.785998,2.107727,-1.2578087,0.10897103,0.6090147,0.8486649,1.4489408
S118,1.7911648,-3.6031706,1.3731041,-0.9668056,0.8605072,1.5947812,-0.63649905,0.6776889,1.5974107,-0.16554478,-0.5759309,2.2236285,0.6568925,-1.1794268,-3.7011814,-0.18240176,0.08574052,-2.7494137,1.346075,2.4349775,-0.80554104,0.65563256,1.3279452,-0.34012705,0.9578878,-2.7785408,-1.1993803,2.459649,0.35375524,-1.853548,0.062701955,-1.0587009
S119,-1.7442049,3.4971192,-1.3985003,0.23260872,-0.6271901,-0.84001815,2.2691348,-0.2400552,-1.2590551,-0.3550369,-0.7998598,-1.9588879,0.19817564,1.1562997,2.7305708,-0.82786566,0.58853066,3.101993,-0.26708427,-3.065445,-0.63632405,-1.0670455,-0.65368253,1.3747839,-0.89233,2.5859606,2.4770625,-1.0767875,0.9199455,0.7747522,0.54274404,1.6597041
S120,1.6258737,-2.9841552,1.6251647,-1.3250248,1.0081618,0.752126,-0.4143164,0.527762,1.3323983,-0.54879206,-0.50385904,1.8881193,0.8195702,-1.2374412,-3.4007869,-0.45908147,0.31267434,-2.950288,0.7535201,2.6466231,-0.7153908,0.81661457,2.0660245,-0.7853456,1.3007718,-2.8348563,-1.9302468,1.8774613,0.23124331,-1.6053579,0.11234469,-0.71194756
