"","S001","S002","S003","S004","S005","S006","S007","S008","S009","S010","S011","S012","S013","S014","S015","S016","S017","S018","S019","S020","S021","S022","S023","S024","S025","S026","S027","S028","S029","S030","S031","S032","S033","S034","S035","S036","S037","S038","S039","S040","S041","S042","S043","S044","S045","S046","S047","S048","S049","S050","S051","S052","S053","S054","S055","S056","S057","S058","S059","S060","S061","S062","S063","S064","S065","S066","S067","S068","S069","S070","S071","S072","S073","S074","S075","S076","S077","S078","S079","S080","S081","S082","S083","S084","S085","S086","S087","S088","S089","S090","S091","S092","S093","S094","S095","S096","S097","S098","S099","S100","S101","S102","S103","S104","S105","S106","S107","S108","S109","S110","S111","S112","S113","S114","S115","S116","S117","S118","S119","S120"
"Gene07139",2,1,0,1,3,2,4,2,0,1,0,0,1,0,2,1,2,2,0,2,4,3,2,1,1,1,2,1,4,2,5,1,2,1,1,1,2,2,0,1,1,0,1,5,0,3,6,2,0,2,1,2,1,0,1,5,2,6,0,4,1,2,1,0,2,0,0,2,1,1,0,1,2,1,0,1,2,1,0,0,0,3,3,0,4,0,3,2,2,1,2,3,1,0,1,1,2,3,1,0,0,3,2,1,4,2,2,0,1,4,2,2,2,3,0,6,1,2,0,2
"Gene07140",2,1,2,1,3,3,4,2,1,2,2,0,2,1,4,1,1,1,3,0,3,0,1,0,0,0,3,1,1,1,4,0,5,0,3,0,0,1,7,3,0,0,0,2,1,1,2,2,2,1,1,0,0,2,1,2,2,1,4,0,0,0,1,0,2,0,2,1,2,0,1,1,0,0,1,2,3,0,1,0,0,1,3,3,0,2,1,0,1,2,2,2,2,0,2,1,4,3,1,1,1,1,1,3,7,0,1,1,2,1,3,2,1,2,1,2,0,0,1,2
"Gene07141",2,3,2,8,2,3,8,4,0,3,4,2,3,6,5,1,1,0,3,3,2,1,1,1,5,2,3,4,3,7,1,4,3,4,3,3,2,3,3,4,2,1,7,6,2,3,3,4,2,6,3,3,1,3,1,1,0,5,3,2,1,2,0,1,2,2,4,1,0,3,1,0,0,1,3,3,3,1,1,3,2,1,0,1,1,3,2,1,0,1,1,6,7,2,5,9,3,4,2,1,6,6,4,3,2,5,6,4,4,6,4,9,1,3,1,8,2,2,2,1
"Gene07142",7,4,13,2,10,3,8,2,4,4,6,1,4,5,3,3,0,2,6,6,1,4,9,2,5,7,9,8,10,3,1,4,5,1,5,3,6,7,11,3,5,5,6,3,13,3,10,12,10,5,5,5,4,8,3,2,2,3,4,6,9,5,5,4,5,3,2,4,3,9,8,9,8,8,3,4,4,3,6,3,5,8,5,7,6,3,3,2,2,2,10,6,3,8,7,4,5,7,13,9,4,5,8,1,13,6,15,5,0,5,6,11,10,7,3,4,23,7,7,2
"Gene07143",3,1,2,1,1,0,5,0,1,1,1,1,0,0,1,0,5,0,0,4,8,1,2,3,2,1,2,4,5,0,4,6,6,4,5,4,1,5,3,5,6,9,3,9,8,6,3,7,0,4,4,4,3,4,3,4,3,3,3,1,3,3,3,2,4,4,3,3,6,0,4,2,3,6,4,3,2,0,5,1,4,6,2,4,4,3,5,3,0,9,7,2,1,3,3,9,1,4,2,5,2,4,1,5,3,3,0,1,4,3,2,7,5,7,2,4,7,2,1,7
"Gene07144",4,6,1,11,13,3,3,4,3,6,1,6,7,3,8,12,9,4,11,3,3,14,9,8,11,8,1,4,11,5,20,3,6,12,19,13,3,12,7,8,8,12,4,10,6,2,19,4,6,6,6,6,1,8,6,5,0,7,18,10,4,1,1,3,7,8,6,4,3,6,2,4,19,5,15,5,4,5,6,1,5,9,3,8,6,3,3,15,8,4,6,3,3,3,3,6,5,1,9,0,9,4,7,9,7,9,5,4,4,4,2,4,4,14,3,5,9,6,2,0
"Gene07145",8,9,5,8,4,10,12,1,3,3,2,6,4,5,8,7,2,4,7,4,14,2,3,7,0,2,7,6,6,6,0,8,6,5,5,1,6,6,6,3,9,3,5,1,4,3,4,8,6,5,1,5,4,4,2,2,0,4,9,7,0,4,2,4,6,4,0,4,2,3,1,4,7,10,4,8,10,4,1,0,16,2,2,11,2,3,4,1,1,6,0,3,4,5,4,0,2,3,3,7,1,7,3,8,16,1,4,2,7,8,1,0,4,1,0,1,4,4,1,3
"Gene07146",2,4,1,3,0,1,6,1,2,4,3,2,4,0,1,0,3,0,3,2,0,3,1,1,1,1,5,1,4,1,3,3,12,6,7,3,3,5,4,6,3,4,4,3,1,8,8,8,4,3,0,6,4,8,2,2,10,8,5,7,4,4,3,4,3,1,0,4,2,3,3,2,3,1,4,3,1,1,4,0,2,3,2,5,2,4,1,3,1,2,1,1,2,8,2,3,4,3,3,2,0,2,3,3,3,5,5,0,1,1,4,3,2,2,2,6,1,10,3,6
"Gene07147",0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,3,1,0,3,1,0,4,1,0,2,5,0,0,1,1,2,2,1,1,1,2,2,2,1,0,0,3,2,2,1,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,0,1,0,2,1,2,1,1,2,0,2,2,0,0,2,0,1,0,1,1,0,0,0,2,1,2,2,0,1,0,0,0,1,0,1,1,3,0,2
"Gene07148",11,4,13,4,14,2,13,4,12,4,6,2,13,1,13,1,8,5,8,1,10,2,9,2,9,1,8,4,10,6,23,4,21,6,15,0,13,3,12,8,7,6,15,8,16,3,16,4,11,3,14,1,6,3,17,8,11,3,10,4,19,12,14,5,18,4,12,12,29,4,36,6,10,4,27,14,19,9,49,14,25,4,17,11,29,10,43,5,12,5,17,1,6,6,7,5,5,4,6,5,5,3,13,5,15,1,20,2,4,5,4,6,5,4,9,8,14,5,14,2
"Gene07149",18,23,21,9,28,23,30,4,24,9,15,8,10,21,8,18,18,3,15,11,29,12,7,21,17,13,20,20,13,9,32,13,18,3,15,7,20,12,18,31,5,21,13,13,9,16,27,18,16,18,7,14,9,20,14,25,11,13,5,12,19,12,14,11,17,7,22,10,20,5,27,18,14,5,15,11,13,7,10,24,18,22,12,18,13,12,21,16,18,10,11,8,12,8,11,16,14,6,8,18,6,10,5,8,10,25,4,13,17,5,13,31,14,7,7,13,5,13,11,10
"Gene07150",1,5,5,5,5,5,10,3,2,8,3,5,4,0,5,11,4,1,0,7,4,2,4,2,2,4,6,8,2,15,1,10,4,16,7,1,7,3,6,7,4,8,5,9,5,6,2,8,3,6,3,14,4,5,2,4,1,2,1,9,3,3,0,0,3,3,1,5,4,7,3,7,0,4,3,7,2,9,3,3,3,1,0,2,3,2,2,4,3,1,6,3,0,16,2,11,2,5,4,2,2,4,0,8,2,6,8,4,1,14,2,9,0,6,3,2,5,2,1,5
"Gene07151",5,11,7,8,5,4,16,1,6,3,5,2,10,1,23,6,5,20,9,7,4,5,11,1,11,5,12,8,11,7,5,11,15,6,12,5,17,10,5,10,1,4,4,19,13,6,2,13,6,5,10,5,9,7,20,8,5,4,5,8,3,26,14,2,7,10,9,2,11,8,3,14,5,11,3,11,12,15,2,8,7,10,9,5,4,7,6,11,5,19,3,4,7,4,7,9,9,7,8,2,4,5,10,10,11,6,14,3,5,6,5,5,7,5,1,8,7,4,6,2
"Gene07152",0,3,3,4,6,5,4,5,5,2,5,4,4,0,5,6,3,1,4,2,3,5,0,1,6,4,3,6,8,6,4,4,5,0,0,1,1,4,0,4,2,3,3,1,1,1,2,2,2,2,1,0,2,2,2,6,0,0,1,5,5,1,2,2,1,3,2,2,2,5,2,3,2,4,1,3,4,1,4,4,1,5,3,3,2,3,5,1,1,4,1,4,2,1,1,3,2,0,1,1,2,2,3,3,2,6,2,6,4,4,5,1,0,2,0,1,1,4,4,3
"Gene07153",9,6,18,15,14,6,14,9,11,12,15,14,21,10,28,21,8,13,23,9,11,9,6,9,12,6,15,14,21,6,12,3,17,6,20,9,9,16,8,19,12,5,9,4,5,15,17,9,10,10,10,3,10,4,9,7,7,11,11,9,14,19,23,13,18,12,12,10,14,17,9,12,19,8,16,10,8,15,22,5,24,12,10,12,12,20,13,15,9,15,8,4,6,3,9,5,9,7,6,7,5,6,4,10,4,8,15,5,6,8,7,9,2,3,7,3,5,8,6,4
"Gene07154",0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,4,0,0,0,1,4,0,0,1,0,0,1,0,2,1,1,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,1,2,0,2,1,0,0,1,2,1,4,2,1,2,0,1,1,0,2,2,3,0,1,1,0,2,0,1,0,3,0,0,0,0,1,0,2,3,2,0,0,0,0,3,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,2,2,0,1,0,1,0,0,0,0,1
"Gene07155",3,3,1,5,0,2,1,0,3,2,0,0,2,3,3,0,0,1,1,2,2,5,4,3,2,1,0,2,1,0,2,1,1,1,2,1,1,0,1,2,0,1,3,1,0,1,1,0,0,0,1,2,1,0,1,0,2,3,0,0,2,0,3,1,2,1,1,1,2,0,1,1,0,3,2,1,0,2,2,1,0,4,3,4,0,2,2,1,1,4,0,1,1,2,1,0,0,1,1,0,0,2,0,0,1,0,3,1,0,1,1,1,1,2,1,3,0,2,1,1
"Gene07156",1,2,3,1,1,0,2,2,0,0,1,0,1,0,3,0,2,0,0,2,0,1,0,1,1,1,5,1,2,1,2,4,2,0,3,1,0,2,2,4,2,2,2,2,0,1,5,2,2,1,2,0,0,0,0,2,0,1,0,0,0,0,1,1,1,0,2,2,0,0,1,2,3,2,3,4,0,4,1,0,2,3,2,3,1,0,1,1,0,0,1,2,4,1,2,4,4,1,2,2,3,3,2,1,0,0,1,1,2,3,1,1,1,1,2,1,1,0,1,0
"Gene07157",8,1,3,2,3,2,13,3,1,2,3,4,3,1,4,4,7,9,7,3,9,6,3,5,3,4,1,6,3,3,5,8,7,7,3,2,6,7,4,1,3,5,2,4,9,3,4,10,2,4,1,1,7,6,4,8,3,7,4,3,5,10,1,3,5,6,3,6,7,6,3,12,4,4,7,3,6,7,5,1,3,9,6,9,2,6,9,3,10,7,4,6,3,4,5,5,3,7,6,4,1,8,5,5,5,3,2,3,6,3,4,0,5,2,4,5,6,2,6,7
"Gene07158",2,0,0,1,1,1,5,3,1,1,1,0,0,1,1,0,0,1,0,2,1,1,0,0,2,0,3,2,0,0,3,2,2,1,1,4,4,0,0,0,3,0,2,2,1,2,3,3,0,3,1,0,1,0,1,1,3,3,1,1,1,1,1,0,2,1,0,0,0,0,0,1,3,3,3,1,3,3,0,0,2,0,2,2,0,0,0,3,1,2,0,2,2,0,2,2,3,1,0,1,0,2,0,3,1,2,1,0,0,2,0,1,0,0,2,4,1,3,0,1
"Gene07159",5,7,6,7,6,7,7,4,4,3,4,5,4,7,5,4,8,1,1,3,9,3,7,8,1,6,4,12,0,17,7,2,1,7,14,0,7,4,4,6,7,10,1,4,3,0,6,8,6,5,4,3,4,6,3,1,7,6,5,6,10,11,6,8,3,7,3,5,6,11,5,4,4,4,7,3,1,6,9,6,12,6,6,7,7,5,4,8,2,4,6,3,2,4,1,4,1,5,7,6,3,5,4,12,11,3,9,2,4,13,3,4,2,9,4,2,2,3,2,6
"Gene07160",16,34,14,16,17,21,22,12,12,25,11,21,18,18,21,5,12,15,22,13,24,23,13,6,7,8,20,21,24,24,7,20,14,8,13,8,7,22,20,12,15,9,15,17,6,9,11,16,16,23,6,5,9,10,29,4,23,24,9,20,21,20,9,3,15,22,8,12,12,9,11,3,12,18,8,19,3,8,10,8,15,15,20,15,18,13,14,2,9,6,3,9,9,8,13,19,5,10,4,5,1,9,5,7,7,13,8,7,3,6,15,14,4,5,8,11,8,8,2,4
"Gene07161",3,0,3,2,5,6,6,6,1,2,2,5,1,1,0,3,5,2,1,2,2,2,6,2,5,0,0,7,0,1,1,3,1,2,2,1,0,1,1,2,5,4,2,1,3,2,3,3,1,1,2,3,1,0,1,3,0,1,2,0,2,0,2,0,3,2,0,2,5,1,2,0,1,0,3,1,1,0,0,1,0,0,1,1,3,1,0,1,0,2,2,6,6,1,0,7,3,4,2,0,0,2,1,3,1,0,3,3,2,6,2,8,1,0,0,1,2,6,0,1
"Gene07162",10,11,17,22,38,20,16,34,4,25,14,17,32,10,8,18,3,13,26,16,20,10,11,9,25,16,10,13,15,17,37,36,10,20,25,19,19,17,15,13,20,21,34,15,25,32,6,47,8,21,24,34,15,33,17,25,13,35,9,39,22,68,27,30,38,29,16,35,36,57,32,30,28,52,43,21,37,46,24,23,17,31,33,42,42,26,72,41,24,26,14,11,15,13,13,15,6,13,10,11,10,25,11,27,40,24,16,5,26,38,15,30,27,9,25,8,18,26,10,15
"Gene07163",0,4,6,3,1,0,1,4,1,3,2,2,0,4,3,5,4,0,4,2,0,1,5,4,0,1,0,6,2,9,2,3,3,0,3,1,2,1,1,4,0,6,1,3,1,1,1,1,0,1,0,1,0,2,1,2,1,2,1,0,2,5,0,4,2,4,1,0,4,5,1,2,3,0,6,3,0,0,5,1,1,3,5,9,2,6,3,5,2,3,2,1,8,5,0,0,1,4,5,3,3,5,3,6,4,6,1,6,0,1,1,0,2,5,6,3,6,0,1,3
"Gene07164",0,0,0,3,1,1,1,0,1,3,0,1,2,2,2,0,0,1,1,2,3,1,1,0,1,0,0,2,0,1,1,1,2,1,1,3,1,4,5,2,2,1,2,0,1,0,3,1,0,0,4,0,0,3,0,1,1,1,0,0,6,0,0,0,7,0,0,0,1,1,2,4,1,3,0,4,0,3,3,3,3,0,0,0,1,1,0,1,0,0,1,0,0,2,1,1,0,0,1,1,0,1,2,0,4,0,0,1,2,0,2,0,0,2,1,1,0,0,0,4
"Gene07165",11,10,17,11,11,7,28,11,8,15,12,23,8,11,20,9,13,11,11,23,14,10,10,8,8,7,12,21,12,15,19,9,7,7,11,6,5,7,13,15,6,4,9,10,5,16,14,6,8,11,7,5,5,7,3,10,8,8,5,10,7,6,6,9,6,1,6,6,7,3,5,8,4,13,14,6,5,11,6,6,10,7,10,10,6,6,6,3,4,8,7,15,8,5,5,14,6,8,12,4,9,6,7,12,7,7,7,5,7,4,6,10,14,4,3,6,5,9,10,9
"Gene07166",2,0,1,1,0,0,2,0,2,1,1,2,6,0,0,1,1,1,1,0,1,0,1,2,1,0,3,0,1,4,3,0,1,0,2,0,2,0,1,2,2,3,0,1,4,1,2,1,2,0,2,1,3,1,1,0,3,1,2,1,1,0,3,1,0,0,2,0,0,1,0,1,2,1,2,1,0,1,0,1,1,2,0,2,0,1,3,0,1,0,2,0,3,1,0,1,3,0,1,1,0,2,1,0,0,0,1,1,4,1,0,0,0,0,1,2,0,2,1,0
"Gene07167",8,5,7,7,14,6,5,14,9,11,7,5,7,4,10,5,11,7,9,13,16,4,10,5,3,6,6,12,7,7,5,7,14,6,5,7,6,6,9,3,6,7,3,7,8,16,9,10,4,7,7,2,10,2,7,5,3,11,4,3,11,7,5,9,11,12,5,5,6,2,4,9,13,11,10,2,7,6,9,7,5,7,8,8,5,6,8,6,5,4,5,3,12,5,8,8,5,4,4,5,7,3,4,8,9,6,4,5,9,10,8,8,9,6,6,6,12,11,2,4
"Gene07168",4,2,3,3,4,5,1,2,3,5,4,3,5,4,5,1,0,0,9,1,3,2,1,3,4,2,1,1,4,9,1,8,8,1,7,1,3,2,0,3,1,9,3,5,2,2,4,12,3,1,4,1,1,3,6,5,3,3,2,9,3,2,1,0,6,5,0,9,1,3,3,5,9,2,4,2,4,1,7,1,2,3,3,7,2,1,4,2,2,4,0,3,2,1,0,4,6,4,0,4,3,5,2,3,1,4,7,4,1,1,5,3,1,4,5,9,4,2,1,2
"Gene07169",3,2,2,1,2,0,1,3,0,2,1,0,4,2,2,1,1,2,0,0,1,1,0,2,0,2,1,3,1,1,5,1,2,3,1,5,1,3,4,5,2,0,1,5,1,1,0,4,2,1,0,2,0,1,0,1,0,2,2,1,2,2,1,1,2,1,0,2,2,2,0,2,0,4,2,2,0,1,2,0,1,4,2,3,0,2,2,1,1,1,4,1,1,1,0,2,3,0,0,2,1,0,0,1,1,1,3,0,4,0,2,0,3,0,0,1,1,1,0,0
"Gene07170",2,14,10,6,6,6,7,11,3,10,2,5,2,6,2,9,4,2,1,5,2,3,5,23,6,7,2,6,1,7,1,4,2,9,1,6,1,12,0,2,2,16,0,8,3,0,3,7,3,2,1,8,4,4,4,15,1,3,1,7,3,8,0,4,2,10,0,2,0,10,0,5,2,5,2,3,2,6,2,6,0,1,0,8,0,3,7,7,1,2,1,6,2,3,2,4,0,5,0,5,1,3,1,3,3,2,2,8,4,2,1,9,1,5,2,8,4,9,0,3
"Gene07171",5,1,12,6,2,5,6,14,5,11,1,6,3,2,12,8,8,1,5,13,5,13,5,6,3,2,8,13,9,12,5,16,17,5,4,4,3,7,7,5,8,8,7,6,3,1,12,7,2,10,4,2,2,7,2,1,6,6,7,9,3,8,9,6,12,2,10,8,2,9,4,6,5,4,9,2,8,7,9,5,4,6,4,11,5,6,12,3,3,18,9,4,4,7,4,9,3,3,7,1,1,5,5,2,2,2,12,0,2,11,1,3,7,2,4,3,10,10,5,3
"Gene07172",3,2,3,2,0,0,6,3,0,0,4,2,2,1,2,0,0,0,2,2,1,4,3,0,6,1,2,1,1,4,1,4,1,0,2,2,3,3,6,2,2,2,1,0,0,5,2,4,1,2,4,2,1,1,3,1,0,2,4,4,5,4,2,2,2,5,2,5,4,2,4,8,3,2,6,4,2,10,5,3,7,3,2,3,3,3,5,6,0,6,3,2,0,0,5,0,2,1,3,2,0,2,1,3,1,2,2,1,2,2,3,6,3,1,2,2,2,2,3,3
"Gene07173",2,0,0,0,0,1,0,0,0,2,0,0,0,1,3,0,1,2,1,0,0,1,0,0,0,0,1,0,1,0,4,3,1,0,0,1,0,1,1,2,0,2,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,2,0,3,4,1,2,0,1,0,1,1,1,1,1,1,0,1,1,1,3,0,1,1,0,3,2,2,1,0,2,1,0,0,0,2,1,0,0,1,0,0,1,3,0,1,1,0,1,1,1,2,1,0,1,0,0,1,0,2
"Gene07174",1,1,0,0,0,1,1,0,0,0,1,1,1,0,2,0,3,0,2,1,2,0,0,2,1,0,1,1,0,0,0,2,2,0,1,0,1,0,0,0,4,1,0,1,0,1,0,1,1,2,0,0,3,1,1,0,0,2,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,2,1,1,1,1,0,1,2,0,0,1,1,0,0,0,1,2,0,2,0,1,0,0,1,0,0,1,0,1,3,2,1,0,2,1,2,0,1,1,5,0,3,0,0
"Gene07175",1,1,0,2,0,0,2,2,1,0,1,1,2,3,1,2,6,1,1,2,0,3,0,2,2,1,2,2,0,1,4,1,2,2,3,0,3,3,2,3,2,1,0,3,3,0,1,5,1,1,1,1,2,1,1,0,2,2,3,0,2,2,1,2,0,4,1,0,1,3,0,1,1,1,4,1,1,4,1,2,1,1,0,2,3,4,2,1,2,2,3,1,2,3,2,2,2,2,1,1,1,2,2,1,3,0,4,1,1,0,3,3,2,1,2,1,3,0,0,1
"Gene07176",5,8,2,10,3,5,13,4,5,4,3,6,2,8,13,6,8,7,5,7,6,7,9,10,7,5,7,9,6,12,5,3,6,5,4,4,2,9,1,2,4,9,4,8,3,5,7,6,3,4,2,4,9,5,3,4,9,6,3,6,2,2,3,4,0,3,1,9,5,6,3,3,1,5,5,3,4,1,5,3,6,0,2,2,2,4,4,1,7,5,2,8,3,7,2,5,6,8,5,7,5,3,7,5,4,5,9,2,6,10,5,5,2,5,5,13,1,4,1,6
"Gene07177",7,4,3,3,5,4,9,11,7,6,9,3,4,9,5,10,4,6,15,3,2,3,4,5,5,4,5,3,6,9,11,10,9,2,10,8,5,6,9,5,5,8,4,10,7,6,12,6,5,7,7,6,5,8,3,10,5,4,3,4,4,5,6,6,8,7,3,6,9,6,2,5,2,9,7,4,2,7,14,1,8,6,4,4,7,5,6,7,5,13,5,6,10,11,4,16,13,9,6,12,6,3,10,5,14,5,16,4,9,11,8,17,7,15,6,5,9,3,10,6
"Gene07178",5,2,3,5,3,5,1,3,3,6,4,4,6,5,4,6,1,5,4,4,7,4,2,5,2,2,6,5,1,3,13,9,13,4,3,9,4,13,6,4,7,5,3,8,10,5,4,12,3,1,1,1,10,5,3,5,8,4,4,11,3,1,3,8,4,3,2,4,0,3,3,2,3,2,7,0,6,3,2,4,1,6,3,7,0,6,10,4,2,2,7,6,4,2,0,5,0,2,6,9,3,4,5,3,6,11,5,2,7,2,3,4,3,2,1,4,2,8,4,4
"Gene07179",2,1,6,2,0,0,4,4,3,0,4,2,3,2,6,1,3,4,3,3,3,5,1,2,2,0,4,1,3,2,8,3,6,6,4,1,1,5,3,7,1,2,4,5,9,2,6,3,3,3,3,5,0,5,2,6,5,2,3,2,6,6,5,3,3,5,2,3,2,4,1,5,4,1,4,5,5,1,2,3,2,2,3,9,8,3,2,2,2,2,3,3,8,2,2,6,7,5,5,2,5,11,2,2,6,1,1,4,2,0,2,0,3,5,5,2,1,4,3,3
"Gene07180",10,23,7,15,13,12,5,24,10,24,20,19,34,19,15,26,15,11,12,28,0,15,10,18,20,17,13,23,8,11,8,9,14,7,6,8,4,8,4,14,6,13,7,14,15,15,6,5,11,19,5,11,16,19,13,7,9,10,5,25,31,9,16,13,20,20,8,15,1,11,8,11,14,19,11,18,9,25,4,10,16,24,7,10,13,16,23,28,17,15,9,30,11,9,14,27,7,10,9,13,12,25,6,19,16,16,14,11,16,9,8,35,6,21,28,10,15,10,10,9
"Gene07181",3,8,6,2,3,0,10,7,5,6,2,3,5,3,10,3,3,4,4,5,1,6,1,5,3,0,2,6,2,0,9,2,3,4,8,3,8,10,3,2,1,2,3,5,4,1,8,4,1,2,4,4,6,8,0,4,1,3,3,2,1,0,2,3,3,2,1,0,4,3,1,2,6,11,3,0,1,7,0,0,5,0,2,3,1,2,2,3,6,0,1,2,1,3,1,6,1,2,6,5,8,2,2,10,6,5,3,1,4,6,0,7,6,3,6,3,3,3,5,4
"Gene07182",3,11,9,5,1,5,8,6,7,9,9,1,11,11,3,11,6,3,6,6,3,8,5,8,3,4,9,8,10,8,9,5,14,7,14,13,6,4,19,15,9,14,11,11,5,10,11,17,9,13,9,8,9,7,7,13,9,16,0,4,16,7,5,8,14,9,4,12,9,4,5,8,7,6,12,7,9,7,5,8,11,6,7,1,3,19,8,8,13,7,3,23,10,4,4,8,6,4,3,5,3,1,7,6,15,3,7,8,6,5,7,10,5,6,7,10,6,11,7,7
"Gene07183",8,3,6,2,1,9,11,5,2,4,3,7,10,4,3,3,16,5,8,4,5,10,8,10,6,4,8,1,0,3,18,0,8,1,3,0,1,6,1,4,2,8,5,3,3,4,4,4,3,3,1,2,2,5,6,7,0,2,3,9,3,1,5,5,5,2,4,3,3,10,5,4,2,6,3,2,4,9,13,0,4,10,5,3,4,3,8,0,2,2,8,3,2,2,4,4,7,4,1,1,7,4,7,4,4,0,1,3,1,7,2,21,1,2,7,3,3,0,0,6
"Gene07184",0,2,4,2,2,1,4,1,2,1,1,2,3,5,3,0,2,4,1,2,2,3,1,2,0,1,2,0,2,7,3,2,1,1,3,1,1,2,3,4,2,0,2,0,3,0,8,2,2,4,3,2,1,3,1,0,3,2,1,2,0,2,1,1,1,3,0,2,2,1,2,1,3,5,3,1,1,1,0,2,3,2,0,1,4,2,4,1,2,6,2,2,3,4,6,2,6,4,5,3,2,3,2,5,6,4,5,5,3,2,3,11,7,2,2,4,2,5,1,4
"Gene07185",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Gene07186",6,12,7,8,11,12,17,21,13,20,10,9,5,10,8,6,20,16,15,9,18,9,12,13,18,10,9,10,13,16,10,14,27,2,15,13,4,17,23,10,16,15,10,20,11,14,15,14,12,12,9,13,8,17,8,15,8,19,2,10,11,15,10,23,14,16,14,22,12,8,6,17,18,31,29,8,12,21,19,17,19,18,17,23,17,15,25,11,16,14,15,13,18,12,15,11,8,5,15,15,16,9,9,15,20,10,19,10,11,10,8,16,10,16,14,10,22,20,6,13
"Gene07187",4,6,10,11,12,6,16,11,6,7,0,22,10,8,11,4,10,5,6,6,6,4,10,5,16,11,15,10,8,4,18,6,5,5,20,5,3,7,6,9,8,5,6,10,4,4,11,10,3,9,10,11,0,6,9,6,0,7,7,6,9,6,5,4,12,15,2,3,14,5,6,6,11,10,6,5,17,10,9,3,9,14,8,10,9,12,9,3,8,10,6,2,0,1,4,0,3,6,5,2,5,5,5,3,4,9,5,3,9,7,12,7,1,5,4,4,4,6,7,15
"Gene07188",3,1,1,3,1,3,2,5,2,0,2,2,3,1,2,4,5,4,0,1,1,5,3,2,4,2,1,2,2,1,4,4,10,3,10,3,2,4,1,11,2,3,4,6,3,1,0,2,5,2,2,0,4,5,2,3,1,1,2,1,3,2,1,1,1,3,0,1,1,1,1,1,2,3,5,4,3,3,8,1,2,4,2,3,3,0,2,0,2,3,2,0,0,0,1,5,2,1,2,4,1,3,2,4,4,0,6,2,3,3,0,4,1,0,3,4,6,1,3,1
"Gene07189",0,1,3,0,2,3,2,5,3,2,1,1,3,1,2,0,0,2,1,0,0,1,3,3,0,1,0,1,3,2,4,0,4,1,2,2,4,4,0,0,4,2,0,1,1,1,2,1,0,2,1,4,3,0,1,1,0,5,1,0,3,2,2,3,0,2,1,2,2,2,1,3,3,0,2,1,1,1,4,0,2,5,3,2,2,2,1,0,2,2,0,4,0,1,2,1,1,2,1,1,0,2,1,1,1,2,4,1,1,2,0,0,2,2,2,1,2,0,0,3
"Gene07190",29,6,13,25,10,10,10,14,9,17,10,11,5,4,9,6,5,5,8,17,16,11,10,6,12,3,14,15,5,15,12,14,10,7,8,8,7,12,6,14,14,8,10,12,15,10,8,9,11,9,10,9,5,8,11,6,9,8,9,5,10,4,9,13,10,6,2,12,8,6,4,8,10,12,7,11,9,7,16,9,4,15,6,22,7,15,11,14,11,22,15,3,13,12,7,19,23,6,13,9,10,14,12,16,6,17,14,10,21,14,9,13,8,27,5,14,5,16,10,8
"Gene07191",3,6,2,2,0,3,5,4,2,3,3,2,6,5,5,1,7,4,3,5,1,1,3,7,1,0,1,2,1,2,2,0,4,4,5,3,4,2,2,3,2,3,2,2,2,4,5,8,5,0,2,2,0,3,3,1,1,2,3,1,0,2,1,3,1,1,3,0,1,0,1,1,1,2,0,3,0,4,1,2,1,3,2,2,1,2,2,3,5,3,3,3,2,4,3,3,2,1,7,2,0,1,1,4,4,1,3,3,5,3,3,1,0,4,1,1,5,4,5,2
"Gene07192",3,2,3,0,0,0,3,0,3,0,1,1,1,1,1,5,5,5,1,1,3,0,1,1,1,1,0,1,2,1,4,3,11,2,2,3,2,2,5,0,4,1,4,3,0,1,2,4,4,1,3,2,2,4,3,0,7,3,3,4,2,3,3,2,3,0,2,1,5,1,0,4,4,3,6,2,5,1,6,5,4,6,3,1,2,1,2,2,2,1,0,3,6,2,1,2,1,0,4,2,4,1,3,1,3,2,4,0,1,2,3,4,2,2,3,0,4,2,3,2
"Gene07193",3,3,4,0,4,2,3,5,2,5,3,2,4,1,7,1,2,1,2,0,3,0,2,1,2,1,3,1,3,2,1,1,2,1,3,2,0,0,0,1,1,1,0,1,3,4,2,0,3,3,1,2,1,3,2,1,2,4,1,1,2,3,0,0,4,0,0,0,1,1,0,3,1,1,1,4,1,4,1,3,5,0,2,7,1,1,1,1,0,2,1,1,1,0,1,1,5,1,0,0,1,4,1,1,2,4,1,3,0,0,2,1,1,3,2,0,5,2,0,3
